id,order_id,product_id,quantity,unit_price
1,370,35,5,185.47
2,817,272,3,43.48
3,949,191,3,938.89
4,992,268,0,1286.87
5,575,56,4,1438.93
6,939,96,5,915.39
7,520,68,1,855.99
8,916,233,2,1486.0
9,764,206,2,735.09
10,919,35,1,977.12
11,428,101,5,
12,489,17,4,1459.36
13,465,221,5,73.63
14,782,283,4,420.63
15,660,5,1,1684.03
16,676,86,2,1559.86
17,465,82,3,428.43
18,185,108,1,1114.6
19,999,81,-1,551.29
20,806,232,1,1233.46
21,405,184,3,1621.58
22,876,67,5,108.88
23,868,289,1,1380.09
24,135,9999,3,1502.43
25,965,170,4,1479.95
26,162,18,1,826.04
27,277,271,1,1252.79
28,601,204,3,1984.92
29,232,224,0,132.2
30,481,214,2,1000.87
31,987,41,2,1072.64
32,72,71,5,526.91
33,953,118,5,674.78
34,400,146,2,1167.36
35,801,72,5,136.13
36,5,288,0,1842.51
37,763,266,3,1154.33
38,304,155,1,223.66
39,349,9999,3,89.82
40,633,223,-1,1184.45
41,612,155,3,257.82
42,907,61,3,366.48
43,753,40,2,1138.43
44,95,297,1,1515.04
45,539,145,4,1840.79
46,889,7,1,1743.6
47,716,201,4,1117.31
48,444,229,3,1394.38
49,10,112,3,447.45
50,505,39,5,1773.09
51,37,125,3,291.44
52,489,214,2,1087.76
53,592,127,5,30.13
54,873,296,2,1852.14
55,122,110,3,92.58
56,389,299,3,577.83
57,207,197,1,1088.61
58,597,6,3,757.81
59,209,247,5,253.11
60,41,148,0,1027.3
61,646,123,0,1620.48
62,544,292,0,135.5
63,571,259,1,200.45
64,802,135,4,1072.92
65,709,205,5,256.35
66,594,257,4,586.13
67,856,58,2,1586.59
68,393,289,1,730.63
69,143,239,4,99.05
70,715,62,3,1307.0
71,903,172,4,
72,352,19,4,1247.01
73,258,9999,2,1702.7
74,33,107,1,1483.67
75,916,150,4,348.7
76,54,129,3,1144.73
77,755,237,1,969.75
78,699,32,2,1862.67
79,527,184,5,73.25
