id,customer_id,date,status
1,311,2026-03-13,processing
2,221,2026-03-24,processing
3,133,2025-11-28,completed
4,423,2026-05-13,completed
5,359,2025-08-04,completed
6,444,2025-07-11,processing
7,355,2025-08-19,processing
8,90,2026-04-24,pending
9,181,2025-08-16,completed
10,374,2026-01-29,completed
11,230,2025-11-27,cancelled
12,192,2025-09-16,processing
13,95,2025-07-30,processing
14,306,2026-03-20,processing
15,183,2025-12-05,completed
16,59,2026-01-24,cancelled
17,262,2025-09-12,processing
18,174,2026-01-17,pending
19,217,2025-10-25,cancelled
20,168,2026-02-22,pending
21,214,2026-04-07,completed
22,98,2026-02-10,completed
23,,2026-01-20,processing
24,248,2026-03-04,processing
25,296,2025-11-03,pending
26,184,2026-05-11,completed
27,339,2025-12-07,pending
28,153,2025-12-03,cancelled
29,426,2025-12-11,processing
30,340,2025-08-29,completed
31,50,2026-02-24,cancelled
32,362,2025-09-12,pending
33,23,2025-12-26,cancelled
34,337,2026-01-05,completed
35,472,2025-08-21,processing
36,220,2025-10-15,cancelled
37,380,2026-06-02,processing
38,472,2026-03-12,completed
39,209,2026-04-28,pending
40,88,2026-03-13,processing
41,298,2025-12-06,processing
42,331,2025-08-05,completed
43,284,2025-07-23,completed
44,76,2025-08-20,processing
45,47,2025-07-18,completed
46,401,2025-11-28,completed
47,22,2026-04-08,pending
48,394,2025-12-20,cancelled
49,256,2025-08-05,processing
50,444,2026-02-13,pending
51,3,2025-09-07,completed
52,441,2026-04-17,INVALID_STATUS
53,445,2025-08-04,cancelled
54,391,2026-04-26,pending
55,250,2026-01-22,cancelled
56,111,2025-12-06,cancelled
57,448,2025-09-22,INVALID_STATUS
58,249,2025-10-18,cancelled
59,399,2025-08-10,completed
60,305,2026-06-17,pending
61,306,2026-04-30,processing
62,205,2026-02-02,pending
63,347,2025-11-19,completed
64,235,2026-02-09,completed
65,142,2025-11-13,pending
66,183,2026-06-07,cancelled
67,438,2026-01-01,cancelled
68,214,2025-06-14,pending
69,438,2026-05-26,processing
70,162,2025-12-02,processing
71,415,2026-07-07,cancelled
72,370,2025-12-26,completed
73,395,2026-06-30,completed
74,174,2025-06-07,completed
75,426,2025-11-02,completed
76,315,2025-06-21,pending
77,160,2025-07-10,processing
78,135,2025-07-16,pending
79,342,2026-07-01,INVALID_STATUS
80,413,2026-03-15,completed
81,311,2026-03-12,processing
82,187,2026-06-20,processing
83,238,2026-02-16,processing
84,412,2025-11-02,processing
85,1,2025-08-23,completed
86,458,2025-12-13,completed
87,114,2025-06-09,completed
88,471,2025-06-17,completed
89,177,2025-07-07,cancelled
90,289,2026-05-04,processing
91,75,2026-06-21,completed
92,,2025-09-20,processing
93,90,2026-03-29,cancelled
94,238,2025-11-12,processing
95,348,2025-12-01,processing
96,288,2025-08-20,completed
97,378,2026-03-03,processing
98,449,2025-06-13,completed
99,253,2025-10-20,pending
100,466,2026-05-28,processing
101,296,2026-06-06,cancelled
102,2,2026-01-22,processing
103,22,2026-04-16,pending
104,355,2026-04-08,pending
105,87,2025-12-22,pending
106,10,2025-12-16,pending
107,446,2025-10-27,completed
108,,2025-08-18,cancelled
109,,2025-12-26,cancelled
110,449,2025-12-24,completed
111,306,2026-01-10,processing
112,80,2025-09-21,pending
113,,2025-12-23,cancelled
114,213,2025-08-13,cancelled
115,30,2026-01-15,completed
116,114,2026-01-06,pending
117,20,2026-02-12,completed
118,272,2025-06-15,completed
119,313,2026-03-30,pending
120,21,2025-07-20,cancelled
121,76,2026-01-18,pending
122,346,2026-03-26,cancelled
123,259,2025-10-09,processing
124,480,2026-01-15,cancelled
125,353,2026-01-29,processing
126,213,2026-01-30,cancelled
127,262,2026-03-30,completed
128,417,2026-04-20,cancelled
129,72,2026-05-19,processing
130,256,2026-05-22,completed
131,402,2026-03-31,completed
132,128,2025-12-18,completed
133,114,2026-05-09,processing
134,208,2026-05-14,pending
135,208,2025-08-29,pending
136,447,2025-12-23,cancelled
137,493,2025-09-10,processing
138,227,2025-09-19,pending
139,104,2026-05-13,processing
