id,name,category,price
1,Energy,Electronics,55.51
2,Cause,Sports,1588.24
3,Fine,Home,825.8
4,Seem,Luxury,-78.17
5,Age,Luxury,529.94
6,Main,Luxury,1985.35
7,Baby,Fashion,724.66
8,Inside,Fashion,1897.31
9,Even,Electronics,1262.48
10,Easy,,1440.99
11,Main,Sports,1333.73
12,Already,Luxury,330.85
13,Reach,Home,1779.36
14,Half,Electronics,656.06
15,Buy,Luxury,202.98
16,Talk,Fashion,1042.69
17,Week,Sports,895.76
18,When,Luxury,1510.88
19,Either,Electronics,321.95
20,Capital,Home,248.69
21,Push,Fashion,1841.54
22,Paper,,309.0
23,Strategy,Fashion,1939.74
24,Better,Sports,703.62
25,Policy,Fashion,1420.38
26,Ago,Home,1589.01
27,Six,Fashion,862.08
28,Majority,Luxury,130.03
29,Officer,Fashion,1443.69
30,Fill,Sports,61.09
31,Good,,327.52
32,We,Luxury,1691.01
33,Wonder,Home,1772.7
34,Could,Fashion,786.63
35,Imagine,Fashion,1037.95
36,Early,,872.43
37,Around,Electronics,1510.86
38,Newspaper,Electronics,268.97
39,Machine,Luxury,27.77
40,Thank,Sports,1064.66
41,Three,Home,1175.58
42,Guy,Fashion,1926.88
43,Whole,,1511.43
44,Could,Electronics,1999.0
45,Stage,Sports,262.07
46,Wish,Sports,1849.3
47,Avoid,Home,61.3
48,May,,859.29
49,Leave,Sports,1372.22
50,Age,Electronics,195.73
51,Order,Electronics,1569.85
52,Certain,,1373.86
53,Magazine,Electronics,1588.6
54,Five,Home,1088.07
55,American,Sports,646.8
56,Fill,Fashion,-34.89
57,Possible,Home,1011.93
58,Speech,Fashion,1038.5
59,Ball,Luxury,200.76
60,Human,Sports,1487.9
61,Drop,Home,1311.33
62,Their,Sports,885.68
63,Away,Luxury,958.68
64,Movie,Electronics,92.63
65,Gas,Electronics,1516.56
66,Arrive,Luxury,1442.71
67,Government,,1275.9
68,Those,Luxury,1237.31
69,Century,Luxury,1766.9
70,War,,1266.77
71,Dinner,Sports,280.56
72,Imagine,,22.78
73,Seek,,1739.09
74,Join,Luxury,-977.7
75,Begin,Sports,1491.79
76,Contain,Luxury,959.36
77,Discussion,Luxury,784.49
78,Level,,1169.54
79,Team,Luxury,1070.29
80,Hospital,Home,1015.05
81,Especially,Home,147.48
82,East,Luxury,397.01
83,Security,Luxury,1705.86
84,Radio,Home,49.17
85,Blood,Sports,517.57
86,Receive,Fashion,1486.76
87,Food,Home,-1446.1
88,Free,Home,964.61
89,Tonight,Luxury,828.43
90,Air,Home,1521.44
91,Pressure,Fashion,1205.41
92,However,Luxury,1147.55
93,Beat,Luxury,471.54
94,Approach,Luxury,348.27
95,Eat,Sports,434.56
96,Director,Sports,221.11
97,Imagine,Fashion,1236.69
98,Significant,Sports,1492.17
99,Before,Sports,-1230.21
100,Sell,Sports,1490.22
101,Staff,Sports,1652.7
102,Economic,Luxury,158.71
103,Any,Fashion,1682.51
104,Shake,Electronics,1249.15
105,Cost,,1528.71
106,Build,Sports,714.88
107,Wait,,1253.88
108,Southern,Electronics,1066.19
109,Interesting,Electronics,117.77
110,Necessary,Fashion,1801.43
111,Word,Sports,1649.54
112,Buy,Luxury,1138.93
113,Animal,,711.85
114,Weight,Sports,578.56
115,Trial,,196.59
116,Marriage,Home,319.59
117,Firm,,1124.79
118,Perhaps,Home,546.55
119,There,Electronics,-34.87
120,History,Electronics,1731.45
121,Like,Electronics,1094.04
122,Character,,435.19
123,Foot,,878.62
124,Past,,1378.05
125,Cell,Electronics,1548.78
126,Remember,Home,550.94
127,Phone,,555.54
128,War,Home,332.09
129,None,Fashion,1278.1
130,Make,Electronics,1066.13
131,No,Fashion,1279.75
132,Forward,Home,1471.32
133,World,,454.45
134,Throw,Sports,-206.5
